经济学,1,484,1,4,4000,-
市场营销,2,445,2,4,4200,-
旅游管理,1,444,1,4,4000,-
人力资源管理,1,471,1,4,4200,-
机械设计制造及其自动化,4,474,4,4,4200,-
自动化,3,467,3,4,4800,-
工业工程,3,448,3,4,4200,-
测控技术与仪器,3,455,3,4,4200,-
车辆工程,2,460,2,4,4200,-
机器人工程,2,448,3,4,4800,-
食品科学与工程,3,458,3,4,4200,-
食品质量与安全,2,448,2,4,4200,-
化学工程与工艺,2,453,2,4,4000,-
应用化学,2,458,2,4,4000,-
制药工程,3,454,3,4,4200,-
朝鲜语,1,461,1,4,4800,-
工业设计,1,498,1,4,4800,-
土木工程,4,457,4,4,4200,-
工程管理,4,450,4,4,4200,-
建筑环境与能源应用工程,5,426,5,4,4200,-
法学,2,468,3,4,4000,-
新闻学,1,481,1,4,4200,-
汉语国际教育,1,479,1,4,3500,-
数学与应用数学,1,482,1,4,4000,-
信息与计算科学,3,467,3,4,4200,-
统计学,3,448,3,4,4200,-
会计学,1,487,1,4,4000,-
财务管理,1,471,1,4,4200,-
国际商务,1,463,1,4,4200,-
物联网工程,3,479,3,4,4800,-
生物技术,2,438,2,4,4200,-
环境工程,2,466,2,4,4200,-
环境科学,4,436,4,4,4200,-
光电信息科学与工程,2,474,2,4,4800,-
功能材料,4,409,4,4,4200,-
建筑学,2,465,2,4,4800,-
城乡规划,1,457,1,5,4800,-
经济学（只招少数民族）,1,468,3,4,4000,-
市场营销（只招少数民族）,5,438,5,4,4200,-
旅游管理（只招少数民族）,1,422,1,4,4000,-
人力资源管理（只招少数民族）,1,463,1,4,4200,-
机械设计制造及其自动化（只招少数民族）,9,448,9,4,4200,-
自动化（只招少数民族）,7,455,7,4,4800,-
工业工程（只招少数民族）,7,422,7,4,4200,-
测控技术与仪器（只招少数民族）,7,443,7,4,4200,-
车辆工程（只招少数民族）,4,443,4,4,4200,-
机器人工程（只招少数民族）,3,454,3,4,4800,-
食品科学与工程（只招少数民族）,8,435,8,4,4200,-
食品质量与安全（只招少数民族）,5,440,6,4,4200,-
化学工程与工艺（只招少数民族）,7,409,6,4,4000,-
应用化学（只招少数民族）,6,442,6,4,4000,-
制药工程（只招少数民族）,8,429,8,4,4200,-
朝鲜语（只招少数民族）,2,431,2,4,4800,-
工业设计（只招少数民族）,2,474,2,4,4800,-
土木工程（只招少数民族）,10,432,12,4,4200,-
工程管理（只招少数民族）,11,433,11,4,4200,-
建筑环境与能源应用工程（只招少数民族）,12,409,8,4,4200,-
法学（只招少数民族）,3,472,4,4,4000,-
新闻学（只招少数民族）,1,472,1,4,4200,-
汉语国际教育（只招少数民族）,3,458,3,4,3500,-
数学与应用数学（只招少数民族）,3,467,4,4,4000,-
信息与计算科学（只招少数民族）,7,463,9,4,4200,-
统计学（只招少数民族）,8,451,10,4,4200,-
会计学（只招少数民族）,2,479,3,4,4000,-
财务管理（只招少数民族）,2,479,2,4,4200,-
国际商务（只招少数民族）,1,467,1,4,4200,-
物联网工程（只招少数民族）,7,460,7,4,4800,-
生物技术（只招少数民族）,6,429,6,4,4200,-
环境工程（只招少数民族）,4,433,4,4,4200,-
环境科学（只招少数民族）,10,409,9,4,4200,-
光电信息科学与工程（只招少数民族）,7,453,7,4,4800,-
功能材料（只招少数民族）,11,409,5,4,4200,-
建筑学（只招少数民族）,3,449,3,4,4800,-
城乡规划（只招少数民族）,2,454,2,5,4800,-
